"","director","movies","years","gross","rating"
"3049","Roger Spottiswoode","The Last Temptation of ChriståÊ",1988,8373585,7.6
"3052","Roland Emmerich","Rabbit-Proof FenceåÊ",2002,6165429,7.5
"3056","Roland Emmerich","Veer-ZaaraåÊ",2004,2921738,7.9
"3062","Roman Polanski","We Need to Talk About KevinåÊ",2011,1738692,7.5
"3064","Ron Clements","Mother and ChildåÊ",2009,1110286,7.2
"3069","Ron Howard","HesheråÊ",2010,382946,7.1
"3075","Ron Howard","Pale RideråÊ",1985,41400000,7.3
"3076","Ron Howard","Dazed and ConfusedåÊ",1993,7993039,7.7
"3077","Ron Howard","Aimee & JaguaråÊ",1999,927107,7.3
"3081","Ron Maxwell","IncendiesåÊ",2010,6857096,8.2
"3083","Ron Shelton","Elite SquadåÊ",2007,8060,8.1
"3086","Ron Shelton","Boyz n the HoodåÊ",1991,57504069,7.8
"3088","Ron Underwood","Dressed to KillåÊ",1980,31899000,7.1
"3090","Ronan Chapalain","GoåÊ",1999,16842303,7.3
"3093","Ronny Yu","Nowhere in AfricaåÊ",2001,6173485,7.7
"3094","Ronny Yu","ShameåÊ",2011,4000304,7.3
"3095","Rowan Joffe","Layer CakeåÊ",2004,2338695,7.4
"3099","Ruben Fleischer","AberdeenåÊ",2000,64148,7.3
"3100","Ruben Fleischer","The MessengeråÊ",2009,66637,7.2
"3101","Ruben Fleischer","ControlåÊ",2007,871577,7.7
"3102","Ruggero Deodato","The TerminatoråÊ",1984,38400000,8.1
"3103","Rupert Sanders","Good Bye Lenin!åÊ",2003,4063859,7.7
"3104","Rupert Wainwright","The Damned UnitedåÊ",2009,449558,7.6
"3105","Rupert Wyatt","MallratsåÊ",1995,2122561,7.2
"3106","Rupert Wyatt","GreaseåÊ",1978,181360000,7.2
"3107","Rupert Wyatt","PlatoonåÊ",1986,137963328,8.1
"3108","Russ Meyer","Fahrenheit 9/11åÊ",2004,119078393,7.5
"3109","Russell Crowe","Butch Cassidy and the Sundance KidåÊ",1969,102308900,8.1
"3110","Russell Mulcahy","Mary PoppinsåÊ",1964,102300000,7.8
"3111","Russell Mulcahy","Ordinary PeopleåÊ",1980,54800000,7.8
"3113","Rusty Cundieff","West Side StoryåÊ",1961,43650000,7.6
"3114","Ryan Coogler","CaddyshackåÊ",1980,39800000,7.4
"3117","Ryan Murphy","The Usual SuspectsåÊ",1995,23272306,8.6
"3120","RZA","The WrestleråÊ",2008,26236603,7.9
"3122","S.S. Rajamouli","Best in ShowåÊ",2000,18621249,7.5
"3123","Salim Akil","Escape from New YorkåÊ",1981,25244700,7.2
"3129","Sam Mendes","The Last King of ScotlandåÊ",2006,17605861,7.7
"3134","Sam Mendes","The WordsåÊ",2012,11434867,7.1
"3136","Sam Mendes","City IslandåÊ",2009,6670712,7.4
"3137","Sam Miller","The GuardåÊ",2011,5359774,7.3
"3139","Sam Raimi","The Virgin SuicidesåÊ",1999,4859475,7.2
"3143","Sam Raimi","Hedwig and the Angry InchåÊ",2001,3029081,7.8
"3145","Sam Raimi","Shattered GlassåÊ",2003,2207975,7.2
"3156","Sara Sugarman","L'auberge espagnoleåÊ",2002,3895664,7.3
"3158","Saul Dibb","Winter in WartimeåÊ",2008,542860,7.1
"3159","Scott Alexander","The ProtectoråÊ",2005,11905519,7.1
"3164","Scott Derrickson","The StingåÊ",1973,159600000,8.3
"3165","Scott Derrickson","Chariots of FireåÊ",1981,58800000,7.2
"3167","Scott Derrickson","ShineåÊ",1996,35811509,7.7
"3169","Scott Hicks","Ghost WorldåÊ",2001,6200756,7.4
"3170","Scott Hicks","IrisåÊ",2001,1292119,7.1
"3171","Scott Hicks","The ChorusåÊ",2004,3629758,7.9
"3174","Scott Kalvert","Do the Right ThingåÊ",1989,27545445,7.9
"3176","Scott Speer","Le HavreåÊ",2011,611709,7.2
"3180","Scott Ziehl","HeadhuntersåÊ",2011,1196752,7.6
"3181","Sean Anders","Saint RalphåÊ",2004,795126,7.6
"3184","Sean Anders","10 Cloverfield LaneåÊ",2016,71897215,7.3
"3190","Sergey Bodrov","The GiftåÊ",2015,43771291,7.1
"3191","Sergey Bodrov","Instructions Not IncludedåÊ",2013,44456509,7.6
"3195","Seth Gordon","MonsteråÊ",2003,34468224,7.3
"3197","Seth Gordon","Dallas Buyers ClubåÊ",2013,27296514,8
"3199","Seth MacFarlane","MementoåÊ",2000,25530884,8.5
"3201","Shana Feste","Clerks IIåÊ",2006,24138847,7.4
"3202","Shana Feste","Billy ElliotåÊ",2000,21994911,7.7
"3203","Shana Feste","The Way Way BackåÊ",2013,21501098,7.4
"3206","Shane Black","The ApostleåÊ",1997,20733485,7.2
"3212","Shawn Levy","Eve's BayouåÊ",1997,14821531,7.3
"3213","Shawn Levy","Still AliceåÊ",2014,18656400,7.5
"3218","Shawn Levy","Y Tu MamÌÁ TambiÌ©nåÊ",2001,13622333,7.7
"3219","Shawn Levy","Shaun of the DeadåÊ",2004,13464388,8
"3221","Shawn Levy","Lone StaråÊ",1996,13269963,7.6
"3224","Shekhar Kapur","DineråÊ",1982,14100000,7.2
"3232","Sidney Lumet","The Barbarian InvasionsåÊ",2003,3432342,7.7
"3237","Simon Wells","MoonåÊ",2009,5009677,7.9
"3239","Simon West","The Sweet HereafteråÊ",1997,4306697,7.7
"3240","Simon West","Of Gods and MenåÊ",2010,3950029,7.2
"3242","Simon West","Heavenly CreaturesåÊ",1994,3049135,7.4
"3246","Simon Wincer","The MachiniståÊ",2004,1082044,7.7
"3251","Sofia Coppola","Green RoomåÊ",2015,3219029,7.1
"3252","Sofia Coppola","Bottle RocketåÊ",1996,1040879,7.1
"3254","Sofia Coppola","Lovely, StillåÊ",2008,124720,7.3
"3258","Spike Jonze","I Served the King of EnglandåÊ",2006,617228,7.4
"3259","Spike Jonze","Soul KitchenåÊ",2009,274385,7.3
"3260","Spike Lee","Sling BladeåÊ",1996,24475416,8
"3263","Spike Lee","Take ShelteråÊ",2011,1729969,7.4
"3267","Spike Lee","The Names of LoveåÊ",2010,513836,7.2
"3270","Spike Lee","Four Weddings and a FuneralåÊ",1994,52700832,7.1
"3271","Spike Lee","25th HouråÊ",2002,13060843,7.7
"3272","Spike Lee","BoundåÊ",1996,3798532,7.4
"3273","Spike Lee","Requiem for a DreamåÊ",2000,3609278,8.4
"3274","Spike Lee","TangoåÊ",1998,1687311,7.2
"3275","Stanley Kramer","Donnie DarkoåÊ",2001,727883,8.1
"3276","Stanley Kubrick","CharacteråÊ",1997,713413,7.8
"3278","Stanley Tong","Lady VengeanceåÊ",2005,211667,7.7
"3280","Stefan Ruzowitzky","ExiledåÊ",2006,49413,7.3
"3282","Stefan Schwartz","One Flew Over the Cuckoo's NeståÊ",1975,112000000,8.7
"3284","Stephan Elliott","Whale RideråÊ",2002,20772796,7.6
"3285","Stephen Carpenter","PaaåÊ",2009,199228,7.2
"3288","Stephen Chow","The Crying GameåÊ",1992,62549000,7.3
"3291","Stephen Daldry","Lost in TranslationåÊ",2003,44566004,7.8
"3292","Stephen Daldry","Annie HallåÊ",1977,39200000,8.1
"3295","Stephen Frears","Monster's BallåÊ",2001,31252964,7.1
"3297","Stephen Frears","Leaving Las VegasåÊ",1995,31968347,7.6
"3299","Stephen Frears","The Kids Are All RightåÊ",2010,20803237,7.1
"3300","Stephen Frears","They LiveåÊ",1988,13008928,7.3
"3302","Stephen Gaghan","BoyhoodåÊ",2014,25359200,8
"3310","Stephen Herek","The OrphanageåÊ",2007,7159147,7.5
"3314","Stephen Hopkins","SecretaryåÊ",2002,4046737,7.1
"3316","Stephen Hopkins","Talk RadioåÊ",1988,3468572,7.3
"3317","Stephen Hopkins","Waiting for GuffmanåÊ",1996,2892582,7.6
"3322","Stephen Milburn Anderson","SamsaraåÊ",2011,2601847,8.5
"3331","Steve Barron","Buen DÌ_a, RamÌ_nåÊ",2013,100412,7.7
"3335","Steve Box","Mondays in the SunåÊ",2002,146402,7.7
"3340","Steve Carr","Gone with the WindåÊ",1939,198655278,8.2
"3345","Steve James","The PirateåÊ",1948,2956000,7.1
"3349","Steve McQueen","The Full MontyåÊ",1997,45857453,7.2
"3350","Steve McQueen","Airplane!åÊ",1980,83400000,7.8
"3351","Steve Miner","FridayåÊ",1995,27900000,7.3
"3352","Steve Miner","Menace II SocietyåÊ",1993,27900000,7.5
"3357","Steve Oedekerk","Gods and MonstersåÊ",1998,6390032,7.5
"3358","Steve Oedekerk","The Secret in Their EyesåÊ",2009,20167424,8.2
"3359","Steve Oedekerk","Evil Dead IIåÊ",1987,5923044,7.8
"3368","Steven Brill","March of the PenguinsåÊ",2005,77413017,7.6
"3369","Steven Brill","Margin CallåÊ",2011,5354039,7.1
"3371","Steven E. de Souza","WhiplashåÊ",2014,13092000,8.5
"3372","Steven Quale","City of GodåÊ",2002,7563397,8.7
"3373","Steven Quale","Human TrafficåÊ",1999,104257,7.1
"3374","Steven R. Monroe","The HuntåÊ",2012,610968,8.3
"3375","Steven Seagal","BellaåÊ",2006,8108247,7.4
"3376","Steven Shainberg","Maria Full of GraceåÊ",2004,6517198,7.5
"3377","Steven Shainberg","BeginnersåÊ",2010,5776314,7.2
"3378","Steven Soderbergh","Animal HouseåÊ",1978,141600000,7.6
"3379","Steven Soderbergh","GoldfingeråÊ",1964,51100000,7.8
"3380","Steven Soderbergh","TrainspottingåÊ",1996,16501785,8.2
"3383","Steven Soderbergh","Waking Ned DevineåÊ",1998,24788807,7.4
"3384","Steven Soderbergh","Bowling for ColumbineåÊ",2002,21244913,8
"3386","Steven Soderbergh","A Room with a ViewåÊ",1985,20966644,7.4
"3392","Steven Soderbergh","The Bridge on the River KwaiåÊ",1957,27200000,8.2
"3395","Steven Spielberg","Dave Chappelle's Block PartyåÊ",2005,11694528,7.2
"3398","Steven Spielberg","Before MidnightåÊ",2013,8114507,7.9
"3407","Steven Spielberg","Thirteen Conversations About One ThingåÊ",2001,3287435,7.1
"3410","Steven Spielberg","TsotsiåÊ",2005,2912363,7.3
"3411","Steven Spielberg","HappinessåÊ",1998,3000000,7.8
"3414","Steven Spielberg","OldboyåÊ",2003,2181290,8.4
"3420","Steven Zaillian","Summer StormåÊ",2004,95016,7.4
"3426","Stuart Baird","Central StationåÊ",1998,5595428,8
"3429","Stuart Gordon","Hustle & FlowåÊ",2005,22201636,7.4
"3430","Stuart Gordon","Some Like It HotåÊ",1959,25000000,8.3
"3432","Susan Seidelman","The Wizard of OzåÊ",1939,22202612,8.1
"3433","Susan Stroman","Young FrankensteinåÊ",1974,86300000,8
"3435","Susanne Bier","Ulee's GoldåÊ",1997,9054736,7.1
"3436","Sydney Pollack","Blazing SaddlesåÊ",1974,119500000,7.8
"3438","Sydney Pollack","MauriceåÊ",1987,3130592,7.8
"3440","Sydney Pollack","TimecrimesåÊ",2007,38108,7.2
"3447","Takao Okawara","My Own Private IdahoåÊ",1991,6401336,7.1
"3448","Takashi Shimizu","Garden StateåÊ",2004,26781723,7.6
"3449","Takashi Shimizu","Before SunriseåÊ",1995,5400000,8.1
"3451","Tamara Jenkins","Robot & FrankåÊ",2012,3325638,7.1
"3452","Tamra Davis","My Life Without MeåÊ",2003,395592,7.6
"3453","Tamra Davis","The Spectacular NowåÊ",2013,6851969,7.1
"3454","Tamra Davis","ReligulousåÊ",2008,12995673,7.7
"3455","Tarsem Singh","FuelåÊ",2008,173783,7.6
"3459","Tate Taylor","8: The Mormon PropositionåÊ",2010,99851,7.1
"3466","Taylor Hackford","This Is EnglandåÊ",2006,327919,7.7
"3471","Terence Young","The Best Years of Our LivesåÊ",1946,23650000,8.1
"3472","Terence Young","EllingåÊ",2001,313436,7.6
"3473","Terrence Malick","Mi AmericaåÊ",2015,3330,7.2
"3474","Terrence Malick","From Russia with LoveåÊ",1963,24800000,7.5
"3477","Terry Gilliam","Mad Max 2: The Road WarrioråÊ",1981,9003011,7.6
"3478","Terry Gilliam","The Legend of Drunken MasteråÊ",1994,11546543,7.6
"3479","Terry Gilliam","Boys Don't CryåÊ",1999,11533945,7.6
"3481","Terry Gilliam","The Lives of OthersåÊ",2006,11284657,8.5
"3483","Terry Gilliam","The Triplets of BellevilleåÊ",2003,7002255,7.8
"3484","Terry Zwigoff","Smoke SignalsåÊ",1998,6719300,7.2
"3485","Terry Zwigoff","Before SunsetåÊ",2004,5792822,8
"3486","Thaddeus O'Sullivan","Amores PerrosåÊ",2000,5383834,8.1
"3488","Theodore Melfi","Winter's BoneåÊ",2010,6531491,7.2
"3489","Theodore Witcher","Me and You and Everyone We KnowåÊ",2005,3885134,7.4
"3495","Thomas Vinterberg","HamletåÊ",1996,4414535,7.8
"3497","Thomas Vinterberg","Waltz with BashiråÊ",2008,2283276,8
"3499","Thor Freudenthal","No End in SightåÊ",2007,1430185,8.3
"3501","Ti West","In the Shadow of the MoonåÊ",2007,1134049,8.1
"3512","Tim Burton","Gangster's Paradise: JerusalemaåÊ",2008,4958,7.8
"3513","Tim Burton","The Lady from ShanghaiåÊ",1947,7927,7.7
"3515","Tim Burton","River's EdgeåÊ",1986,4600000,7.1
"3520","Tim Burton","A Nightmare on Elm StreetåÊ",1984,26505000,7.5
"3521","Tim Burton","Man on WireåÊ",2008,2957978,7.8
"3522","Tim Chambers","Brotherly LoveåÊ",2015,444044,7.2
"3525","Tim Hill","Beasts of the Southern WildåÊ",2012,12784397,7.3
"3526","Tim Hill","SongcatcheråÊ",2000,3050934,7.3
"3527","Tim Hill","Travelers and MagiciansåÊ",2003,505295,7.5
"3528","Tim Hunter","Run Lola RunåÊ",1998,7267324,7.8
"3530","Tim Johnson","In the BedroomåÊ",2001,35918429,7.5
"3534","Tim Miller","The LunchboxåÊ",2013,4231500,7.8
"3536","Tim Robbins","CaramelåÊ",2007,1060591,7.2
"3537","Tim Story","Mississippi MermaidåÊ",1969,26893,7.2
"3539","Tim Story","Dawn of the DeadåÊ",2004,58885635,7.4
"3540","Tim Story","WaitressåÊ",2007,19067631,7.1
"3543","Timothy BjÌ¦rklund","The Squid and the WhaleåÊ",2005,7362100,7.4
"3545","Timur Bekmambetov","ExoticaåÊ",1994,5132222,7.2
"3546","Timur Bekmambetov","Buffalo '66åÊ",1998,2365931,7.5
"3548","Tina Gordon Chism","Nine QueensåÊ",2000,1221261,7.9
"3552","Tobe Hooper","The BelieveråÊ",2001,406035,7.2
"3555","Tod Williams","Modern TimesåÊ",1936,163245,8.6
"3563","Todd Phillips","Snow White and the Seven DwarfsåÊ",1937,184925485,7.7
"3566","Todd Phillips","Lock, Stock and Two Smoking BarrelsåÊ",1998,3650677,8.2
"3567","Todd Phillips","The CelebrationåÊ",1998,1647780,8.1
"3568","Todd Phillips","Trees LoungeåÊ",1996,695229,7.2
"3569","Todd Phillips","Journey from the FallåÊ",2006,638951,7.4
"3576","Tom Dey","Sex, Lies, and VideotapeåÊ",1989,24741700,7.2
"3577","Tom Ford","SawåÊ",2004,55153403,7.7
"3578","Tom Gormican","Super TroopersåÊ",2001,18488314,7.1
"3580","Tom Hanks","Monsoon WeddingåÊ",2001,13876974,7.4
"3581","Tom Hanks","You Can Count on MeåÊ",2000,9180275,7.7
"3582","Tom Holland","Lucky Number SlevinåÊ",2006,22494487,7.8
"3585","Tom Hooper","Reservoir DogsåÊ",1992,2812029,8.4
"3586","Tom Hooper","The Good, the Bad and the UglyåÊ",1966,6100000,8.9
"3587","Tom Kalin","The Second MotheråÊ",2015,375723,7.9
"3592","Tom Putnam","Dead Man's ShoesåÊ",2004,6013,7.7
"3596","Tom Shadyac","The Raid: RedemptionåÊ",2011,4105123,7.6
"3597","Tom Shadyac","RockyåÊ",1976,117235247,8.1
"3601","Tom Tykwer","Dr. NoåÊ",1962,16067035,7.3
"3607","Tomas Alfredson","Blue ValentineåÊ",2010,9701559,7.4
"3608","Tomm Moore","TransamericaåÊ",2005,9013113,7.4
"3612","Tommy O'Haver","The SessionsåÊ",2012,5997134,7.2
"3614","Tommy Wirkola","JunoåÊ",2007,143492840,7.5
"3615","Tommy Wirkola","Frozen RiveråÊ",2008,2508841,7.2
"3616","Tony Bancroft","20 Feet from StardomåÊ",2013,4946250,7.4
"3619","Tony Gilroy","The Full MontyåÊ",1997,45857453,7.2
"3620","Tony Gilroy","Who Killed the Electric Car?åÊ",2006,1677838,7.7
"3623","Tony Jaa","SlamåÊ",1998,982214,7.2
"3624","Tony Kaye","Brigham CityåÊ",2001,798341,7.2
"3630","Tony Scott","Wristcutters: A Love StoryåÊ",2006,104077,7.4
"3633","Tony Scott","The Act of KillingåÊ",2012,484221,8.2
"3634","Tony Scott","Taxi to the Dark SideåÊ",2007,274661,7.7
"3635","Tony Scott","Once in a Lifetime: The Extraordinary Story of the New York CosmosåÊ",2006,144431,7.3
"3636","Tony Scott","Antarctica: A Year on IceåÊ",2013,287761,7.6
"3648","Tyler Perry","On the WaterfrontåÊ",1954,9600000,8.2
"3650","Tyler Perry","4 Months, 3 Weeks and 2 DaysåÊ",2007,1185783,7.9
"3651","Tyler Perry","Hard CandyåÊ",2005,1007962,7.1
"3653","Tyler Perry","Fruitvale StationåÊ",2013,16097842,7.5
"3656","Uli Edel","Latter DaysåÊ",2003,819939,7.2
"3659","Uwe Boll","A SeparationåÊ",2011,7098492,8.4
"3660","Uwe Boll","Welcome to the DollhouseåÊ",1995,4771000,7.5
"3661","Vadim Perelman","Ruby in ParadiseåÊ",1993,1001437,7.2
"3662","Vadim Perelman","Raising Victor VargasåÊ",2002,2073984,7.2
"3665","Vicente Amorim","American GraffitiåÊ",1973,115000000,7.5
"3673","Victor Salva","Hoop DreamsåÊ",1994,7830611,8.3
"3674","Vincent Gallo","L.I.E.åÊ",2001,1141829,7.2
"3675","Vincent Gallo","King KongåÊ",2005,218051260,7.2
"3677","Vincent Ward","Half NelsonåÊ",2006,2694973,7.2
"3678","Vincente Minnelli","Top HatåÊ",1935,3000000,7.8
"3680","Vincenzo Natali","WoodstockåÊ",1970,13300000,8.1
"3683","Wally Pfister","A Hard Day's NightåÊ",1964,515005,7.7
"3688","Walter Hill","The Station AgentåÊ",2003,5739376,7.7
"3689","Walter Hill","To Save a LifeåÊ",2009,3773863,7.1
"3690","Walter Salles","Beyond the MatåÊ",1999,2047570,7.6
"3691","Walter Salles","OsamaåÊ",2003,1127331,7.4
"3694","Warren Beatty","Twin Falls IdahoåÊ",1999,985341,7.3
"3695","Warren P. Sonoda","Mean CreekåÊ",2004,603943,7.3
"3700","Wayne Wang","Seven SamuraiåÊ",1954,269061,8.7
"3711","Wes Anderson","Bloody SundayåÊ",2002,768045,7.7
"3712","Wes Anderson","Conversations with Other WomenåÊ",2005,379122,7.1
"3714","Wes Ball","42nd StreetåÊ",1933,2300000,7.7
"3715","Wes Craven","MetropolitanåÊ",1990,2938208,7.5
"3716","Wes Craven","As It Is in HeavenåÊ",2004,9910,7.6
"3718","Wes Craven","Blue RuinåÊ",2013,258113,7.1
"3720","Wes Craven","Monty Python and the Holy GrailåÊ",1975,1229197,8.3
"3721","Wes Craven","QuinceaÌ±eraåÊ",2006,1689999,7.1
"3723","Wes Craven","TarnationåÊ",2003,592014,7.2
"3729","Will Finn","MurderballåÊ",2005,1523883,7.8
"3731","Will Gluck","HalloweenåÊ",1978,47000000,7.9
"3735","William A. Graham","Pieces of AprilåÊ",2003,2360184,7.1
"3737","William Brent Bell","Wendy and LucyåÊ",2008,856942,7.1
"3739","William Cottrell","Across the UniverseåÊ",2007,24343673,7.4
"3742","William Friedkin","Chasing AmyåÊ",1997,12006514,7.3
"3744","William Friedkin","Better Luck TomorrowåÊ",2002,3799339,7.2
"3748","William Wyler","CubeåÊ",1997,489220,7.3
"3754","Wolfgang Petersen","BurnåÊ",2012,111300,7.5
"3757","Woody Allen","SwingersåÊ",1996,4505922,7.4
"3758","Woody Allen","A Fistful of DollarsåÊ",1964,3500000,8
"3759","Woody Allen","Short Cut to Nirvana: Kumbh MelaåÊ",2004,381225,7.2
"3761","Woody Allen","Side EffectsåÊ",2013,32154410,7.1
"3762","Woody Allen","The Trials of Darryl HuntåÊ",2006,1111,7.7
"3763","Woody Allen","Children of HeavenåÊ",1997,925402,8.5
"3764","Woody Allen","WeekendåÊ",2011,469947,7.7
"3769","Woody Allen","OnceåÊ",2007,9437933,7.9
"3770","Woody Allen","The Horse BoyåÊ",2009,155984,7.4
"3771","Woody Allen","The Texas Chain Saw MassacreåÊ",1974,30859000,7.5
"3772","Woody Allen","Roger & MeåÊ",1989,6706368,7.5
"3780","Yarrow Cheney","PiåÊ",1998,3216970,7.5
"3782","Yash Chopra","Super Size MeåÊ",2004,11529368,7.3
"3787","Yimou Zhang","George WashingtonåÊ",2000,241816,7.5
"3788","Youssef Delara","Smiling Fish & Goat on FireåÊ",1999,277233,7.6
"3790","Zach Braff","ClerksåÊ",1994,3151130,7.8
"3791","Zach Cregger","In the Company of MenåÊ",1997,2856622,7.3
"3793","Zack Snyder","SlackeråÊ",1991,1227508,7.1
"3797","Zack Snyder","The CircleåÊ",2000,673780,7.5
"3798","Zack Snyder","The CureåÊ",1997,94596,7.4
